t1.Person2Id|t1.Person1Id|t1.creationDate|t2.firstName|t2.lastName
2866|332|2012-07-30T10:20:38.216+00:00|Eve-Mary Thai|Hoang
2869|332|2010-05-06T06:38:09.470+00:00|Li|Yu
15393162796516|332|2012-09-21T17:30:05.908+00:00|Shweta|Singh
15393162796516|4398046517010|2011-08-25T04:11:18.581+00:00|Shweta|Singh
15393162796516|6597069767748|2012-08-31T19:47:59.338+00:00|Shweta|Singh
15393162796516|10995116284819|2012-04-17T16:16:20.132+00:00|Shweta|Singh
15393162796516|4398046520361|2012-07-23T02:01:07.146+00:00|Shweta|Singh
19791209304449|7645|2011-08-23T03:58:37.799+00:00|Peng|Li
19791209304449|6597069771799|2012-10-28T00:58:34.094+00:00|Peng|Li
19791209304449|2199023263840|2011-09-25T12:03:22.220+00:00|Peng|Li
19791209304449|10995116279311|2011-12-15T08:01:32.377+00:00|Peng|Li
19791209304449|4398046513315|2012-06-09T21:14:17.719+00:00|Peng|Li
19791209304449|332|2012-11-23T22:21:26.731+00:00|Peng|Li
19791209304449|5726|2011-11-03T10:11:27.445+00:00|Peng|Li
19791209304449|19791209300778|2011-12-15T08:56:15.112+00:00|Peng|Li
19791209304449|17592186050342|2012-05-31T17:59:09.468+00:00|Peng|Li
19791209304449|15393162799092|2012-06-15T08:04:18.830+00:00|Peng|Li
19791209304449|13194139542108|2011-11-05T19:57:10.338+00:00|Peng|Li
19791209304449|4398046517554|2011-08-26T01:39:44.534+00:00|Peng|Li
19791209304449|4398046519492|2012-12-23T20:30:30.459+00:00|Peng|Li
19791209304449|6597069773303|2011-10-28T06:45:31.984+00:00|Peng|Li
19791209304449|8796093024610|2012-12-19T16:37:11.470+00:00|Peng|Li
19791209304449|4398046518396|2012-02-09T02:16:55.317+00:00|Peng|Li
28587302324075|8796093024509|2012-06-03T15:41:45.299+00:00|Deepak|Kumar
28587302324075|6597069766768|2012-03-26T23:20:45.264+00:00|Deepak|Kumar
28587302324075|10995116279311|2012-06-26T18:59:45.353+00:00|Deepak|Kumar
28587302324075|10995116282169|2012-09-28T01:21:46.734+00:00|Deepak|Kumar
28587302324075|24189255814035|2012-05-06T12:53:49.572+00:00|Deepak|Kumar
28587302324075|4398046520361|2012-06-20T16:43:13.294+00:00|Deepak|Kumar
28587302324075|24189255817359|2012-05-14T07:50:01.230+00:00|Deepak|Kumar
28587302324075|21990232563186|2012-03-17T22:02:43.064+00:00|Deepak|Kumar
28587302324075|332|2012-09-30T19:39:20.635+00:00|Deepak|Kumar
32985348834993|24189255814889|2012-08-21T18:44:12.928+00:00|Yang|Zhang
32985348834993|19791209300396|2012-10-24T22:23:51.248+00:00|Yang|Zhang
32985348834993|19791209301503|2012-10-01T03:37:53.704+00:00|Yang|Zhang
32985348834993|26388279076737|2012-07-30T11:33:17.118+00:00|Yang|Zhang
32985348834993|24189255812597|2012-10-17T11:46:45.541+00:00|Yang|Zhang
32985348834993|21990232559670|2012-12-26T02:00:10.083+00:00|Yang|Zhang
32985348834993|19791209300416|2012-11-14T05:13:13.438+00:00|Yang|Zhang
32985348834993|17592186051056|2012-07-27T11:16:10.534+00:00|Yang|Zhang
32985348834993|13194139543173|2012-08-16T23:42:05.579+00:00|Yang|Zhang
32985348834993|30786325588190|2012-12-12T12:49:00.844+00:00|Yang|Zhang
32985348834993|28587302327203|2012-12-24T14:29:26.280+00:00|Yang|Zhang
32985348834993|19791209309755|2012-11-04T12:16:38.614+00:00|Yang|Zhang
32985348834993|24189255814958|2012-11-10T11:43:12.161+00:00|Yang|Zhang
32985348834993|26388279073421|2012-11-19T11:01:46.532+00:00|Yang|Zhang
32985348834993|8796093027822|2012-10-30T08:47:52.999+00:00|Yang|Zhang
32985348834993|10995116281401|2012-09-04T23:46:54.285+00:00|Yang|Zhang
32985348834993|2199023265146|2012-12-16T02:30:45.771+00:00|Yang|Zhang
32985348834993|6597069766853|2012-10-24T17:31:22.277+00:00|Yang|Zhang
32985348834993|10995116279311|2012-12-09T22:02:30.533+00:00|Yang|Zhang
32985348834993|4398046519469|2012-10-25T18:54:44.784+00:00|Yang|Zhang
32985348834993|6597069771745|2012-09-21T05:25:54.259+00:00|Yang|Zhang
32985348834993|6597069769566|2012-10-02T00:44:04.186+00:00|Yang|Zhang
32985348834993|6597069775125|2012-09-16T13:13:03.091+00:00|Yang|Zhang
32985348834993|6597069772570|2012-11-26T09:09:53.628+00:00|Yang|Zhang
32985348834993|4398046518396|2012-10-05T12:09:26.067+00:00|Yang|Zhang
32985348834993|977|2012-09-02T01:51:23.489+00:00|Yang|Zhang
32985348834993|332|2012-08-31T07:27:22.493+00:00|Yang|Zhang
32985348834993|6597069773796|2012-08-30T03:03:28.857+00:00|Yang|Zhang
32985348834993|10995116284819|2012-08-13T15:07:37.620+00:00|Yang|Zhang
32985348834993|17592186051338|2012-10-20T04:03:43.658+00:00|Yang|Zhang
32985348834993|19791209304847|2012-11-03T12:23:18.482+00:00|Yang|Zhang
32985348834993|24189255811542|2012-11-07T22:47:40.014+00:00|Yang|Zhang
32985348834993|15393162794570|2012-08-14T20:29:28.963+00:00|Yang|Zhang
32985348834993|5726|2012-10-01T17:25:03.799+00:00|Yang|Zhang
32985348834993|10995116281885|2012-09-05T09:25:18.435+00:00|Yang|Zhang
32985348834993|8796093025002|2012-08-11T23:10:29.757+00:00|Yang|Zhang
32985348834993|2199023256351|2012-08-12T14:36:05.021+00:00|Yang|Zhang
32985348834993|6196|2012-12-07T10:57:01.592+00:00|Yang|Zhang
32985348834993|4398046513315|2012-08-18T08:52:28.947+00:00|Yang|Zhang
32985348834993|13194139537077|2012-10-30T14:25:35.550+00:00|Yang|Zhang
32985348834993|15393162792008|2012-08-27T03:42:01.962+00:00|Yang|Zhang
32985348834993|15393162796428|2012-08-04T21:25:53.185+00:00|Yang|Zhang
32985348834993|13194139541057|2012-08-15T01:10:42.611+00:00|Yang|Zhang
32985348843490|28587302330000|2012-10-10T12:58:15.327+00:00|Yang|Li
32985348843490|24189255812597|2012-10-30T02:45:07.401+00:00|Yang|Li
32985348843490|21990232564096|2012-09-22T17:32:52.010+00:00|Yang|Li
32985348843490|15393162792008|2012-08-21T09:54:21.844+00:00|Yang|Li
32985348843490|8796093028449|2012-10-23T17:34:55.780+00:00|Yang|Li
32985348843490|6597069771745|2012-12-10T15:52:50.420+00:00|Yang|Li
32985348843490|26388279076737|2012-09-14T04:14:44.007+00:00|Yang|Li
32985348843490|21990232556315|2012-10-26T15:45:09.609+00:00|Yang|Li
32985348843490|19791209306343|2012-07-16T04:55:25.675+00:00|Yang|Li
32985348843490|13194139542108|2012-08-12T15:53:50.057+00:00|Yang|Li
32985348843490|28587302332574|2012-11-04T17:13:31.843+00:00|Yang|Li
32985348843490|332|2012-11-11T03:31:20.578+00:00|Yang|Li
